codeCIS;codeSubstance;dosage;referenceDosage
60156662;1623;7CH à 30CH et 14DH à 60DH;un comprimé
60156662;40000;7CH à 30CH et 14DH à 60DH;un comprimé
60156662;1623;7CH à 30CH et 14DH à 60DH;un comprimé
60158147;37;1 g;100 g de gel
60158147;22364;1,16 g;100 g de gel
60158193;26713;2CH à 30CH et 4DH à 60DH;100 g de gel
60158193;26713;2CH à 30CH et 4DH à 60DH;100 g de gel
60158193;26713;2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);100 g de gel
60158193;26713;2CH à 30CH et 4DH à 60DH;100 g de gel
60158193;26713;2CH à 30CH et 4DH à 60DH;100 g de gel
60158193;26713;2CH à 30CH et 4DH à 60DH;100 g de gel
60159128;3682;5 mg;un comprimé
60160479;23247;5 mg;un comprimé
60160707;51891;20 mg;un comprimé
60160835;55721;800 mg;un comprimé
60161143;11532;10 mg;un comprimé
60162494;30646;25 mg;un comprimé
60162494;86571;75 mg;un comprimé
60165234;3296;6 DH;un comprimé
60165234;52275;4 DH;un comprimé
60165234;55133;10 DH;un comprimé
60165234;3296;6 DH;un comprimé
60165234;52275;4 DH;un comprimé
60165234;55133;10 DH;un comprimé
60165394;39422;25 mg;une gélule
60165857;53763;10 mg;un comprimé
60166980;55705;21,06 mg;une gélule
60166980;80889;20 mg;une gélule
60168465;11532;5 mg;un comprimé
60168515;16860;30000 UI;une seringue préremplie de 0,6 ml
60170046;2202;500 mg;un comprimé
60170224;17723;10 mg;un comprimé
60172339;4979;0,20 g;un flacon
60173964;1691;50 mg;une gélule
60175591;53766;25 mg;un flacon
60175716;80978;0,5 mg;un récipient unidose de 2 ml
60175972;77;8 mg;une dose unitaire de 0,4 ml
60177044;5386;200 mg;un comprimé
60177158;84096;2CH à 30CH et 4DH à 60DH;un comprimé
60177158;84096;2CH à 30CH et 4DH à 60DH;un comprimé
60177158;84096;2CH à 30CH et 4DH à 60DH (pommade à 4 %);un comprimé
60177158;84096;2CH à 30CH et 4DH à 60DH;un comprimé
60177158;84096;2CH à 30CH et 4DH à 60DH;un comprimé
60177158;84096;2CH à 30CH et 4DH à 60DH;un comprimé
60177628;251;3 mL (TM);30 mL de solution
60177628;252;3 mL (4 DH);30 mL de solution
60177628;265;3 mL (4 DH);30 mL de solution
60177628;5487;3 mL (TM);30 mL de solution
60177628;8612;3 mL (6 DH);30 mL de solution
60177628;24551;3 mL (3 DH);30 mL de solution
60177628;28521;3 mL (6 DH);30 mL de solution
60177628;29699;3 mL (4 DH);30 mL de solution
60177724;2751;15 mg;un flacon
60178281;37102;4CH à 30CH et 8DH à 60DH;un flacon
60178281;37102;4CH à 30CH et 8DH à 60DH;un flacon
60178281;37102;4CH à 30CH et 8DH à 60DH (pommade à 4 %);un flacon
60178281;37102;4CH à 30CH et 8DH à 60DH;un flacon
60178281;37102;4CH à 30CH et 8DH à 60DH;un flacon
60178281;37102;4CH à 30CH et 8DH à 60DH;un flacon
60178609;15009;5 mg;1 mL de solution
60178609;51796;40 microgrammes;1 mL de solution
60178712;101;2 g;100 ml
60179839;17477;200 microgrammes;un comprimé
60180720;11532;10 mg;un comprimé
60181231;39476;1,5 mg;un flacon
60181231;92529;1,593 mg;un flacon
60181402;2487;0,5 mg;1 ml de solution
60181733;5432;10,66 mg;1 ml
60181733;56635;10 mg;1 ml
60182237;4028;60 mg;une capsule
60182237;10394;300 mg;une capsule
60182486;899;1,4 g;100 ml
60182657;24513;11400 UI anti-Xa;une seringue pré-remplie
60183061;69020;0,2 mg;un flacon
60184188;5562;500,00 mg;un comprimé
60184590;45263;200 mg;un flacon
60184590;97324;327,6 mg;un flacon
60185201;11532;10 mg;un comprimé
60186043;28784;500 mg;1 comprimé
60186552;75145;4 g;100 ml de solution
60186584;79562;2 mg;un comprimé
60187348;39727;5 mg;un comprimé
60187348;52431;6,79 mg;un comprimé
60187348;69916;10 mg;un comprimé
60187348;93748;6,935 mg;un comprimé
