codeCIS;codeCIP7
60427989;3661765
60427989;3661771
60429851;4900320
60430095;4171460
60430095;4179674
60433166;3011393
60433344;3009395
60433344;3009401
60433369;3406205
60433629;3017387
60434745;3024491
60434745;3024493
60434834;2169252
60435263;3575534
60435263;3575540
60435263;3615647
60436479;3517666
60437428;3983351
60437428;3983380
60438793;3029872
60439087;3283056
60439525;3319831
60441558;3013754
60441622;3454440
60441622;3454457
60442838;2733161
60442838;2733178
60442980;5834112
60443192;3009071
60443413;5717837
60443477;3852784
60443477;3852815
60443609;3511066
60443801;2681470
60443897;3023682
60444084;5623071
60445204;3480650
60445784;3691944
60446306;3018245
60446612;5725529
60446612;5725535
60446612;5725541
60446612;5725558
60446726;3016275
60446726;3016276
60446911;3507343
60446911;3507372
60447461;5644529
60448702;3587419
60449672;3811845
60449672;3811851
60449672;3811868
60450831;3763477
60450831;3763483
60451456;3020174
60451456;3020176
60451762;2208006
60453083;2203150
60453083;3018661
60453083;3352917
60453197;3385905
60453382;4900445
60453382;4900446
60454662;2736633
60454662;4971901
60454662;4971918
60454662;4971924
60455586;3884703
60455586;3909461
60455586;3909478
60455789;3012086
60456154;3423770
60456154;4950394
60456154;4950514
60456154;4950715
60456154;4950974
60456535;3348838
60456948;3748242
60456948;3748265
60457263;3959507
60457338;5715241
60457719;3004238
60457822;2682742
60457929;3016324
60459499;3659389
60460398;5649018
60460398;5649053
60460996;3016517
60461105;3717359
60461105;3717388
60461984;3259773
60462328;5560548
60462513;2245384
60462538;3795052
60462659;3008281
60462965;2699352
60463095;3004765
60463323;2696425
60463871;3489214
60464076;3021159
60464076;3974240
60464076;3974257
60464222;3487882
60466515;3922148
60468092;3629388
60468092;3629402
60468103;3890218
60468320;3010960
60470015;3001934
60470015;3002188
60470047;3883980
60470499;3222959
60470499;3222971
60470798;3205866
60470798;3216232
60470990;3278285
60470990;3278316
60470990;3348761
60472849;3010362
60473157;2738632
60473157;2738661
60473812;4900146
60473812;4900147
60474889;3599397
60474889;5709536
60475749;2769294
60476630;3693268
60476979;3085385
60477038;3540961
60477038;3712528
60477650;3620683
60478097;3013170
60478097;3013172
60479345;2794346
60479345;2794375
60480212;2749469
60480276;3014765
60480810;3001851
60481517;2799970
60481517;2800012
60482665;3671539
60483685;3712416
60483685;3712422
60484221;5576288
60485234;3363938
60485572;3006882
60485953;3006660
60485985;5649283
60486090;4926906
60486279;3015558
60488216;2677557
60488216;2677563
60489617;3873160
60489617;3873177
60489738;2790153
60489841;3905836
60489841;3905859
60490256;3020642
60490893;3002843
60491130;2762814
60491130;3286600
60491130;3834183
60491130;5583354
60492702;3025905
60493359;2678893
60493619;3397340
60494614;3471898
60494895;3000306
60495132;2699398
60495132;2699406
60495132;2699412
60495132;2699429
60495132;2770713
60495132;2770736
60495132;3379514
60495132;3379537
60495132;3379543
60495132;3379566
60495132;3399103
60495132;3616173
60495132;3616196
60495132;3619800
60495132;3619817
60495328;3021866
60496348;5604889
60497140;3802303
60498751;3983581
60498751;3983598
60500519;3011126
60502559;3985611
60502840;3838258
60503789;5594665
60505950;3624066
60506358;3016595
60507086;3001673
60507086;4939895
60507271;2789919
60507271;2789960
60508302;4962776
60508430;2192920
60508697;3963213
60509781;5775674
60511177;5505194
60511953;4902461
60512090;4920849
60512090;4920909
60512336;3022153
60512336;3800238
60512521;3020232
60513032;3009485
60513032;3704523
60513598;3012962
60513655;5558391
60514006;3567345
60514006;5766646
60514839;3935487
60514839;3935501
60514839;4950059
60514839;4950060
60514878;3802556
60514928;4935087
60514928;4935118
60516765;3533754
60516765;3533777
60516982;3931696
60516982;3931710
60517664;3644241
60517707;3191199
60518136;3240087
60518378;3711670
60519117;3016991
60519117;3016992
60519505;4962517
60519505;4962552
60521470;3524413
60521926;3974352
60522572;5612423
60524064;3934045
60524573;3512456
60524573;3512462
60524573;3512479
60524598;3388424
60524598;3634159
60524826;3560981
60524826;3738781
60526880;3612637
60526880;3612643
60527320;3302411
60528874;3680691
60529218;3021224
60529613;3941246
60529613;3941252
60529613;3941269
60529816;2225789
60530882;3616368
60530882;3616380
60530882;3616405
60530925;3967174
60533348;5843447
60534076;3311686
60534795;5770263
60534795;5770286
60534795;5770292
60534795;5770300
60534795;5770317
60535331;2756618
60535623;3010275
60535915;3022349
60535915;3023100
60536209;3703908
60536209;3882851
60536383;3413381
60539130;3007766
60539301;3350060
60542703;3015812
60542735;3016149
60542920;3726915
60542920;3768322
60543082;3021989
60543292;3859639
60543292;3873757
60545083;2792583
60545343;3016383
60545343;3370482
60546299;2662107
60546502;3198801
60546502;5523949
60546662;3599871
60546662;3741731
60548802;4900298
60549391;3295272
60549391;3295295
60549797;3760964
60549797;3760970
60549911;3010377
60550493;5506636
60550493;5790975
60550568;3460653
60550988;3368195
60552619;3408836
60552925;5856042
60554125;3784829
60555469;3013021
60555889;3014005
60555889;3014006
60556852;3533872
60556852;3533895
60557096;3292492
60557826;4919639
60557826;4919651
60558248;3850986
60558294;2200045
60558554;5524943
60558629;3000237
60558682;3275588
60560046;3992249
60560046;3992284
60560224;3716710
60560224;3777717
60560861;3895492
60561269;2764084
60561333;3039563
60562606;3762561
60562734;3016157
60562734;3016158
60562855;5730192
60564219;3975831
60565310;5805808
60565723;4991329
60565730;2674659
60566686;4900397
60566686;4900398
60567418;2667777
60567418;2667783
60567418;2667808
60567418;2667814
60567418;3012229
60567418;3018774
60567418;3384685
60567418;3520088
60567418;3520094
60567418;3520125
60567418;3520131
60567418;3520148
60567418;3520183
60567418;3520208
60567418;5589204
60568235;2211965
60568559;3639168
60568559;3875348
60569173;3013001
60569419;3547348
60569419;3547354
60569860;3762242
60570108;3003437
60570229;3777657
60570229;3777663
60571391;3377320
60572618;3013185
60572746;3012260
60572746;3012261
60574505;5649314
60574868;3015008
60576634;3272667
60576901;3286994
60577565;2234587
60577565;2234593
60578560;3002198
60578852;5545744
60579228;3005369
60580134;5785098
60580369;3490660
60580369;3490683
60581115;4900328
60581211;3022332
60582021;2740712
60582021;2740735
60582092;2770191
60582498;2677586
60582498;2677592
60583187;3864942
60583269;3713120
60583269;3855506
60584638;3762207
60585996;3420843
60587100;4918539
60587100;4918568
60588106;4169687
60588106;4169693
60588704;3410483
60590630;3897120
60591091;2799898
60594326;3873674
60595232;3990960
60595232;3991474
60595727;2788771
60595727;3792496
60595727;5707106
60596010;3014594
60596494;2740646
60596494;2740652
60598673;3004594
60599533;3640697
60599533;4950010
60599533;4950019
60600074;3043056
60600156;2797787
60600334;3356335
60601728;4168920
60602431;3021262
60602431;3339762
60602449;5501582
60603444;3024528
60603444;3024529
60605000;3411560
60605064;2749535
60606586;3731974
60607503;3006088
60607955;3024280
60608174;3003664
60608384;3945741
60609568;3931331
60609568;5747991
60610595;3013012
60613075;3018048
60613157;3695959
60613157;3695971
60613673;5841419
60614273;3959832
60614280;3004438
60614889;3309146
60616445;5597770
60616687;5502153
60616751;3423847
60616840;3470338
60616840;3580297
60616840;3946278
60617020;2202848
60617020;2202860
60617052;3462675
60618154;3359397
60618161;2165969
60618229;5505841
60618275;2737029
60618841;3014780
60619174;3013916
60619174;3013920
60620486;3433113
60620664;2787168
60621054;3020475
60621264;5577483
60621442;3024347
60622302;5869168
60622537;3813985
60622537;3814016
60622868;3002229
60623831;2213728
60624171;3002849
60624171;3002851
60625647;3130720
60625921;3013649
60625921;3485073
60625921;3962774
60626197;3022239
60626197;3867774
60626471;3867337
60627235;3218432
60627235;3768724
60627865;5809893
60628554;3426372
60629186;3624238
60630498;4972958
60630498;4972964
60632111;3021731
60632346;3014363
60632638;3190277
60632734;2199862
60633658;3971187
60634703;4989410
60635068;5505718
60635125;5583756
60635449;3625611
60635449;3625628
60635520;3013071
60635520;3013072
60635520;3013073
60635520;3013074
60639052;3711753
60639052;3711799
60639091;3006302
60639248;3115376
60639255;3669092
60639586;2187296
60639586;2187333
60639892;3008304
60641690;4971048
60641854;4163124
60642949;3015274
60642949;5505712
60643442;3010524
60643442;3010525
60643823;2688383
60643976;2699174
60643976;2699197
60645557;2735036
60646132;3006851
60647049;3264455
60647049;5542208
60647323;3501116
60647444;5857389
60647992;3020202
60648158;3748029
60648158;3748058
60648304;3471792
60648304;3471817
60648756;3009574
60648756;3009575
60648770;3016270
60648770;3016271
60649235;3010196
60649235;3010199
60649986;3805738
60650173;3017148
60650173;3759990
60650173;3760007
60650173;3760013
60650173;3767067
60650173;3767073
60650426;3517790
60650789;5565362
60651453;3562069
60651567;2739979
60654271;5506931
60655327;3008778
60656596;3206096
60656596;3314779
60656799;3005874
60656799;3005878
60657189;3717224
60657997;4900408
60657997;4900409
60658330;3004024
60658693;5501701
60658711;3641082
60658750;3832600
60659891;3762727
60660616;3953060
60660655;4902403
60660655;4902426
60660790;3832959
60661312;3817279
60661383;3015731
60661561;3009522
60661814;5668317
60661814;5668352
60662019;3389955
60662058;3244027
60662396;4900082
60662695;4175920
60663142;3615156
60663142;3768546
60663231;2773203
60663441;3004835
60664059;5505401
60664365;3438470
60665360;2794955
60665862;3411755
60665862;5639327
60665905;3630960
60665905;3916722
60665912;3850319
60666074;3572748
60669978;4900323
60670037;3935441
60670037;3935464
60670037;4950057
60670037;4950058
60670457;3878080
60670457;3878105
60670489;3010493
60670489;3010494
60670489;3799305
60670806;3584763
60670806;4950282
60670980;2201688
60670980;2201719
60671178;3678033
60672497;2201180
60672974;2732606
60673325;2756593
60673389;2210842
60675618;3229795
60675618;3238274
60676481;3219029
60676951;2161279
60678735;3012767
60679068;3942576
60679068;3942599
60680832;5589747
60681425;3541759
